Entidad,Nombre
Aguascalientes,Chasca
Baja California,Cóctel de elote
Sonora,Cóctel de elote
Durango,Elote desgranado
Baja California Sur,Elote en vaso
Coahuila de Zaragoza,Elote en vaso
Chihuahua,Elote en vaso
Guanajuato,Elote en vaso
Jalisco,Elote en vaso
Nuevo León,Elote en vaso
Zacatecas,Elote en vaso
Campeche,Esquite
Colima,Esquite
Chiapas,Esquite
Ciudad de México,Esquite
Guerrero,Esquite
Hidalgo,Esquite
México,Esquite
Morelos,Esquite
Nayarit,Esquite
Oaxaca,Esquite
Puebla,Esquite
Querétaro,Esquite
Quintana Roo,Esquite
Sinaloa,Esquite
Tabasco,Esquite
Tlaxcala,Esquite
Veracruz,Esquite
Yucatán,Esquite
San Luis Potosí,Trolelote
Tamaulipas,Trolelote
Michoacán,Vasolote
