País,Artista,Canción,Género
Antigua y Barbuda,NA,NA,NA
Argentina,Rusherking y María Becerra,Antes de ti,Hip-Hop
Bahamas,NA,NA,NA
Barbados,NA,NA,NA
Belice,NA,NA,NA
Bolivia,Tainy with Bad Bunny & Julieta Venegas,Lo Siento BB:/,Pop
Brasil,Avine Vinny y Matheus Fernandes,Coracao Cachorro,Forró
Canadá,Adele,Easy On Me,Pop
Chile,Tainy with Bad Bunny & Julieta Venegas,Lo Siento BB:/,Pop
Colombia,Tainy with Bad Bunny & Julieta Venegas,Lo Siento BB:/,Pop
Costa Rica,KAVVO,Amarrau,Reguetón
Cuba,NA,NA,NA
Dominica,Tainy with Bad Bunny & Julieta Venegas,Lo Siento BB:/,Pop
Ecuador,Tainy with Bad Bunny & Julieta Venegas,Lo Siento BB:/,Pop
El Salvador,Tainy with Bad Bunny & Julieta Venegas,Lo Siento BB:/,Pop
Estados Unidos,Adele,Easy On Me,Pop
Granada,NA,NA,NA
Guatemala,Tainy with Bad Bunny & Julieta Venegas,Lo Siento BB:/,Pop
Guyana,NA,NA,NA
Haití,NA,NA,NA
Honduras,Tainy with Bad Bunny & Julieta Venegas,Lo Siento BB:/,Pop
Jamaica,NA,NA,NA
México,Tainy with Bad Bunny & Julieta Venegas,Lo Siento BB:/,Pop
Nicaragua,Bad Bunny,Yonaguni,Reguetón
Panamá,Tainy with Bad Bunny & Julieta Venegas,Lo Siento BB:/,Pop
Paraguay,Tainy with Bad Bunny & Julieta Venegas,Lo Siento BB:/,Pop
Perú,Maluma,Sobrio,Pop
República Dominicana,Tainy with Bad Bunny & Julieta Venegas,Lo Siento BB:/,Pop
San Cristóbal y Nieves,NA,NA,NA
San Vicente y las Granadinas,NA,NA,NA
Santa Lucia,NA,NA,NA
Surinam,NA,NA,NA
Trinidad y Tobago,NA,NA,NA
Uruguay,"Tiago PZK, Trueno",Salimo de Noche,Urbano
Venezuela,NA,NA,NA
